Subj,List,Cond,Rating
Subj1,List1,NCF,2
Subj1,List1,CF,-3
Subj1,List1,RE,-3
Subj1,List1,NCF,-3
Subj1,List1,CF,-3
Subj1,List1,CF,-2
Subj1,List1,NCF,2
Subj1,List1,IS,-3
Subj1,List1,CF,-3
Subj1,List1,NCF,-2
Subj1,List1,NCF,-1
Subj1,List1,CF,-3
Subj1,List1,NCF,3
Subj1,List1,FS,-2
Subj1,List1,CF,0
Subj2,List1,NCF,3
Subj2,List1,CF,-3
Subj2,List1,RE,-1
Subj2,List1,NCF,2
Subj2,List1,CF,-3
Subj2,List1,CF,-3
Subj2,List1,NCF,3
Subj2,List1,IS,-1
Subj2,List1,CF,-3
Subj2,List1,NCF,3
Subj2,List1,NCF,2
Subj2,List1,CF,-3
Subj2,List1,NCF,-1
Subj2,List1,FS,-1
Subj2,List1,CF,-3
Subj3,List1,NCF,3
Subj3,List1,CF,-3
Subj3,List1,RE,3
Subj3,List1,NCF,3
Subj3,List1,CF,-3
Subj3,List1,CF,-2
Subj3,List1,NCF,3
Subj3,List1,IS,2
Subj3,List1,CF,-3
Subj3,List1,NCF,3
Subj3,List1,NCF,3
Subj3,List1,CF,-3
Subj3,List1,NCF,3
Subj3,List1,FS,-2
Subj3,List1,CF,-2
Subj4,List1,NCF,3
Subj4,List1,CF,-3
Subj4,List1,RE,2
Subj4,List1,NCF,-1
Subj4,List1,CF,-3
Subj4,List1,CF,-1
Subj4,List1,NCF,3
Subj4,List1,IS,2
Subj4,List1,CF,-3
Subj4,List1,NCF,-1
Subj4,List1,NCF,0
Subj4,List1,CF,-3
Subj4,List1,NCF,2
Subj4,List1,FS,1
Subj4,List1,CF,-3
Subj5,List1,NCF,3
Subj5,List1,CF,-3
Subj5,List1,RE,3
Subj5,List1,NCF,0
Subj5,List1,CF,-2
Subj5,List1,CF,-1
Subj5,List1,NCF,3
Subj5,List1,IS,0
Subj5,List1,CF,-3
Subj5,List1,NCF,2
Subj5,List1,NCF,0
Subj5,List1,CF,3
Subj5,List1,NCF,0
Subj5,List1,FS,1
Subj5,List1,CF,-3
Subj6,List1,NCF,3
Subj6,List1,CF,-3
Subj6,List1,RE,0
Subj6,List1,NCF,0
Subj6,List1,CF,-3
Subj6,List1,CF,-1
Subj6,List1,NCF,3
Subj6,List1,IS,0
Subj6,List1,CF,-3
Subj6,List1,NCF,3
Subj6,List1,NCF,3
Subj6,List1,CF,-3
Subj6,List1,NCF,3
Subj6,List1,FS,-2
Subj6,List1,CF,-3
Subj7,List1,NCF,3
Subj7,List1,CF,-3
Subj7,List1,RE,3
Subj7,List1,NCF,-1
Subj7,List1,CF,-3
Subj7,List1,CF,-3
Subj7,List1,NCF,3
Subj7,List1,IS,2
Subj7,List1,CF,-3
Subj7,List1,NCF,-2
Subj7,List1,NCF,3
Subj7,List1,CF,-3
Subj7,List1,NCF,3
Subj7,List1,FS,2
Subj7,List1,CF,-3
Subj8,List1,NCF,3
Subj8,List1,CF,-3
Subj8,List1,RE,3
Subj8,List1,NCF,3
Subj8,List1,CF,-3
Subj8,List1,CF,3
Subj8,List1,NCF,3
Subj8,List1,IS,3
Subj8,List1,CF,-3
Subj8,List1,NCF,3
Subj8,List1,NCF,3
Subj8,List1,CF,-3
Subj8,List1,NCF,3
Subj8,List1,FS,3
Subj8,List1,CF,3
Subj9,List1,NCF,3
Subj9,List1,CF,-3
Subj9,List1,RE,2
Subj9,List1,NCF,1
Subj9,List1,CF,-3
Subj9,List1,CF,-2
Subj9,List1,NCF,3
Subj9,List1,IS,1
Subj9,List1,CF,-3
Subj9,List1,NCF,2
Subj9,List1,NCF,1
Subj9,List1,CF,-3
Subj9,List1,NCF,2
Subj9,List1,FS,1
Subj9,List1,CF,-3
Subj10,List1,NCF,3
Subj10,List1,CF,-3
Subj10,List1,RE,2
Subj10,List1,NCF,2
Subj10,List1,CF,-2
Subj10,List1,CF,1
Subj10,List1,NCF,3
Subj10,List1,IS,2
Subj10,List1,CF,-3
Subj10,List1,NCF,3
Subj10,List1,NCF,3
Subj10,List1,CF,-2
Subj10,List1,NCF,2
Subj10,List1,FS,2
Subj10,List1,CF,-2
Subj11,List1,NCF,3
Subj11,List1,CF,-3
Subj11,List1,RE,2
Subj11,List1,NCF,3
Subj11,List1,CF,-3
Subj11,List1,CF,1
Subj11,List1,NCF,3
Subj11,List1,IS,2
Subj11,List1,CF,-3
Subj11,List1,NCF,3
Subj11,List1,NCF,3
Subj11,List1,CF,-3
Subj11,List1,NCF,3
Subj11,List1,FS,2
Subj11,List1,CF,-3
Subj12,List1,NCF,3
Subj12,List1,CF,-3
Subj12,List1,RE,3
Subj12,List1,NCF,2
Subj12,List1,CF,3
Subj12,List1,CF,2
Subj12,List1,NCF,3
Subj12,List1,IS,3
Subj12,List1,CF,-3
Subj12,List1,NCF,3
Subj12,List1,NCF,3
Subj12,List1,CF,-3
Subj12,List1,NCF,3
